DamAccessionNumber,DamName,DamRiverName,DamLocation,DamState_Province,DamCountry,DamLatitude,DamLongitude,DamCoordinateSource,DamMapDatum,DamAccuracyOfLocation,DamYearBuiltRemovedStructure,DamYearRemovalFinished,DamRemovalMethod,DamMotivationForRemoval,DamFunction,DamOperation,DamHeight_m,DamReservoirVolume_m3,DamReservoirSurfaceArea_km2,DamAreaOfEntireWatershed_km2,DataSource_WatershedArea,DamStrahlerStreamOrder,DamNIDID,DamAssociatedUSGSStreamGaugingStation,DamNotes,DamRiverMeanDischarge_CMS,DamGaugingStationDataYears,DamWebsite1,DamWebsite2,DamWebsite3,DamYearBuiltOriginalStructure,DamMonthRemovalBegan,DamDayRemovalBegan,DamYearRemovalBegan,DamMonthRemovalFinished,DamDayRemovalFinished,DamNumberOfDaysToRemoveDam,DamWidth_m,DamLengthOfReservoir_m,DamUpstreamDrainageArea_km2,DataSource_UpstreamDrainageArea,DamRiverWidthUpstreamOfImpoundment_m,DamStoredReservoirSedimentVolume_m3,DamOwner,DamLengthOfStoredSedimentUpstreamOfDam_m,DamRiverAnnualSedimentDischarge
1,Murphy Creek Dam,Murphy Creek,"San Joaquin County, California",CA,USA,38.233945,-121.027401,google,WGS84,within river,1975,2003,de-water & dig,environmental,irrigation,storage,3,15000,0.013,12,citation,2,NA,NA,Year built reported as 1970's,,,,,,,,,,,,,,,,,,,,,
2,Croton Dam,Big Creek,"Delhi, Ontario, Canada",Ontario,Canada,42.820254,-80.508072,publication,"NAD 1983, Zone 17N",,,1938,accidental,,,,,,,363,citation,,NA,02GC006,,4.19,1956-2013,http://wateroffice.ec.gc.ca/,http://wateroffice.ec.gc.ca/report/report_e.html?stn=02GC006&mode=Table&type=h2oArc&dataType=Monthly&parameterType=Flow&year=2013&y1Max=1&y1Min=1,,,,,,,,,,,,,,,,,
3,Hawkesville Dam,Conestoga River,"Hawkesville, Ontario, Canada",Ontario,Canada,43.56758,-80.636477,publication,"NAD 1983, Zone 17N",,1885,1941,accidental,,,,,,,651,citation,,NA,02GA028,Year built reported as 1880's,7.04,1960-2012,http://wateroffice.ec.gc.ca/,http://wateroffice.ec.gc.ca/report/report_e.html?mode=Table&type=h2oArc&stn=02GA028&dataType=Monthly&parameterType=Flow&year=1960&y1Mean=1&scale=normal,,,,,,,,,,,,,,,,,
4,Huttonville Dam,Credit River,"Huttonville, Ontario, Canada",Ontario,Canada,43.644847,-79.804124,google,WGS84,location confirmed,,1971,accidental,,hydroelectric,,,,,648,citation,,NA,02HB025,,6.89,1989-2013,http://wateroffice.ec.gc.ca/,http://wateroffice.ec.gc.ca/report/report_e.html?stn=02HB025&mode=Table&type=h2oArc&dataType=Monthly&parameterType=Flow&year=2013&y1Max=1&y1Min=1,http://spacing.ca/toronto/2012/12/11/lost-villages-huttonville/,,,,,,,,,,,,,,,,
5,Chilligo Dam,Ellis Creek,"Cambridge, Ontario, Canada",Ontario,Canada,43.436191,-80.334483,publication,"NAD 1983, Zone 17N",,,2001,accidental,,,run-of-the-river,,,,57,citation,,NA,,,,,,,,,,,,,,,,,,,,,,,
6,Greenfield Dam,Nith River,"Greenfield, Ontario, Canada",Ontario,Canada,43.29834,-80.4744,publication,"NAD 1983, Zone 17N",,,1969,accidental,,,,,,,842,citation,,NA,,,,,,,,,,,,,,,,,,,,,,,
7,Sutton Dam,Patterson Creek,"Simcoe, Ontario, Canada",Ontario,Canada,42.848375,-80.308813,publication,"NAD 1983, Zone 17N",,1844,2006,accidental,,,,,,,90,citation,,NA,,Year built reported as 1841-1846,,,http://www.museevirtuel-virtualmuseum.ca/sgc-cms/histoires_de_chez_nous-community_memories/pm_v2.php?id=story_line&lg=English&fl=0&ex=416&sl=3136&pos=1,,,,,,,,,,,,,,,,,,
8,Teeswater Dam,Teeswater River,"Teeswater, Ontario, Canada",Ontario,Canada,44.000352,-81.283248,publication,"NAD 1983, Zone 17N",,,1993,accidental,,,,,,,123,citation,,NA,,,,,,,,,,,,,,,,,,,,,,,
9,Bognor Dam,Walter's Creek,"Bognor, Ontario, Canada",Ontario,Canada,44.523207,-80.7395,publication,"NAD 1983, Zone 17N",,,1992,accidental,,,,,,,45,citation,,NA,,,,,,,,,,,,,,,,,,,,,,,
10,Manatawny Creek Dam,Manatawny Creek,southeastern Pennsylvania,PA,USA,40.24684,-75.655952,google,WGS84,within river,1855,2000,staged removal,economic,hydroelectric,run-of-the-river,2.5,10300,,,,4,NA,1471980,"Original dam built in ""1750's"", dam removed built in ""1850's""",3.7,,http://www.epa.gov/reg3wapd/pdf/pdf_nps/success/pa/manatawny.pdf,http://www.ansp.org/research/environmental-research/projects/manatawny/,,1755,8,2,2000,11,21,111,30,500,221,"221km2 at USGS, 238km2 in citation",27,10300,,,
11,Milltown Dam,Clark Fork River,"Missoula, Montana",MT,USA,46.8721,-113.8925,USACE NID,NAD83,,1907,2008,staged removal,environmental,hydroelectric,run-of-the-river,8.5,1233500,0.87007,,,,MT00222,12334550,sediment removed before dam breached,83,1930-2013,,,,,6,1,2006,3,28,,204,1500,9430,"9430km2 at USGS, 5931km2 in citation ('the blackfoot river is a tributary to the clark fork river and drains an area of 5931 km2')",,230000,Montana Power,1500,
12,Savage Rapids Dam,Rogue River,"Grants Pass, Oregon",OR,USA,42.421464,-123.230127,google,WGS84,within river,1921,2009,partial,environmental,irrigation,run-of-the-river,12,,,6369,website,,NA,14361500,,96.09,1939-2013,http://www.usbr.gov/pmts/sediment/projects/SavageRapids/SavageRapids.htm,,,,4,,2009,11,,,152,800,,,,153000,Grants Pass Irrigation District,,76500 m3
13,Quaker Neck Dam,Neuse River,"Goldsboro, North Carolina",NC,USA,35.381,-78.085,USACE NID,NAD83,,1952,1998,,environmental,hydroelectric,run-of-the-river,5.2,6717500,,14499,citation #7,,NC00944,2087500,Other name: H.F. Lee Power Station Cooling Lake Dam,82,,http://www.enr.state.nc.us/newsrels/damdown.htm,,,,12,18,1997,9,,,79,,,,,,"Progress Energy Carolinas, Inc",,
15,Reedsville Mill Dam,Tea Creek,"Reedsville, Pennsylvania",PA,USA,40.667056,-77.599172,google,WGS84,within river,1975,2004,,multiple,hydroelectric,run-of-the-river,4.3,,0.006,,,2,NA,NA,"Dam built date reported as ""1970's"". Motivation for removal: environmental & hazard",,,,,,,,,,,,,40,300,,,,,Reedsville Mill,,
16,Snavley's Mill Dam,Fishing Creek,"Bloomsburg, Pennsylvania",PA,USA,41.044756,-76.428103,google,WGS84,within watershed,1850,1997,,multiple,hydroelectric,run-of-the-river,0.9,,0.007,,,4,NA,1539000,"Dam built date reported as ""1800's"".  Motivation for removal: environmental & hazard",13.89,1939-2013,,,,,,,,,,,32,500,710,USGS,,,Snavley Mill,,
17,Williamsburg Station Dam,Juniata River,"Williamsburg, Pennsylvania",PA,USA,40.471782,-78.20807,google,WGS84,,1922,1996,,economic,hydroelectric,run-of-the-river,4.6,245460,0.186,,,4,NA,1556000,,11.38,1917-2013,http://www.dtic.mil/dtic/tr/fulltext/u2/a109155.pdf,,,,,,,,,,79,1500,754,USGS,,,Penelec,,
18,Woodside I Dam,Twelvemile Creek,"Pickens County, South Carolina",SC,USA,34.77456,-82.77877,publication,unknown,,1937,2011,de-water & dig,environmental,hydroelectric,,8.5,207220,0.03,,,,SC02271,2186000,"Reason for removal: 1) remove any remaining contaminated sediments that have accumulated behind the dams, and 2) to promote sediment transport to further ‘cap’ contaminated sediments downstream and in Lake Hartwell.",4.99,1955-2013,,,,,8,,2009,4,,,183,,275,USGS,,,Woodside Plantation POA,,
19,Woodside II Dam,Twelvemile Creek,"Pickens County, South Carolina",SC,USA,34.76583,-82.79163,publication,unknown,,1895,2011,de-water & dig,environmental,hydroelectric,,6.7,180090,0.03,,,,SC02272,2186000,"Reason for removal: 1) remove any remaining contaminated sediments that have accumulated behind the dams, and 2) to promote sediment transport to further ‘cap’ contaminated sediments downstream and in Lake Hartwell.",4.99,1955-2013,,,,,4,,2011,10,,,91,,275,USGS,,,Woodside Plantation POA,,
20,Randall Dam,Coldwater River (St Joseph River),"Union City, Michigan",MI,USA,42.062304,-85.127708,google,WGS84,location confirmed,1912,2002,de-water & dig,economic,irrigation,run-of-the-river,3.7,,,,,,NA,NA,,,,http://conservationengineers.org/conferences/2005presentations/RandallDam_Jeter.pdf,http://www.a2gov.org/departments/systems-planning/Sustainability/hrimp/Documents/Completed%20dam%20removals%20in%20MI.pdf,,,8,16,2002,8,20,4,122,,762,website,,,Village of Union City,,
21,Stronach Dam,Pine River,"Manistee, Michigan",MI,USA,44.216666,-85.9,USACE NID,NAD83,,1912,2003,staged removal,economic,hydroelectric,run-of-the-river,3.7,48722530,4.28,686,"citation #14, #15, #16. #129 also reports 686 watershed and cites Hansen 1971 as originally reporting value. #170 report this number and cites #16 as source",4,MI00229,4125510,,8.1,,,,,,,,1997,,,,101,3890,686,USGS,17,,Consumers Power Company,3890,50000 tons
22,L'Anse Dam,Falls River,"Baraga Co, Michigan",MI,USA,46.732433,-88.442899,google,WGS84,location confirmed,,1998,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,,,,,
23,Salling Dam,Au Sable River,"Grayling, Michigan",MI,USA,44.66333,-84.741667,USACE NID,NAD83,,1914,1991,,hazard,recreation,,5.2,1233500,0.22,,,3,MI00601,NA,,,,http://www.a2gov.org/departments/systems-planning/Sustainability/hrimp/Documents/Completed%20dam%20removals%20in%20MI.pdf,,,,,,,,,,76,,207,USACE NID,,,Estate of Augsta Katona,,
24,Smyrna Dam (Tebbles Dam),Flat River,"Belding, Michigan",MI,USA,43.06,-85.25,google,WGS84,,1908,1973,,hazard,hydroelectric,,7.3,123350,0.048562,166,online: (http://www.dnrec.delaware.gov/swc/wa/Documents/TMDL_TechnicalAnalysisDocuments/6_SmyrnaTMDLAnalysis.pdf) page 3-1,4,MI00100,4116500,,12.45,1951-1986,http://www.a2gov.org/departments/systems-planning/Sustainability/hrimp/Documents/Completed%20dam%20removals%20in%20MI.pdf,,http://www.dnrec.delaware.gov/swc/wa/Documents/TMDL_TechnicalAnalysisDocuments/6_SmyrnaTMDLAnalysis.pdf,,,,,,,,183,,1368,USGS,,,S. Maclaren,,
25,Wacousta Dam,Looking Glass River,"Grand Ledge, Michigan",MI,USA,42.823134,-84.700947,google,WGS84,within river,1860,1966,,,,,1.4,,,,,4,NA,4114498,,5.33,1945-2013,,,,,,,,,,,,,725,USGS,,,,,
26,Lake Charles VCU-Rice Center Dam,Kimages Creek,"Charles City, Virginia",VA,USA,37.32833,-77.2033,USACE NID,NAD83,,1927,2008,accidental,dam failure,recreation,,3,442820,0.724,12.7,citation #212,2,VA03602,NA,citatiion #212 reported discharge of 0.13 CMS,0.0184,,,,,,10,,2007,,,,50,1700,,,,,Virginia Commonwealth University,,
27,Pawtuxet Falls Dam,Pawtuxet River,"Cranston, Rhode Island",RI,USA,41.764653,-71.390744,google,WGS84,location confirmed,1924,2011,instantaneous,environmental,hydroelectric,run-of-the-river,1.5,98679,0.04,590,citation,,RI04231,1116500,,10.09,1941-2013,https://envstudies.brown.edu/theses/archive20112012/Johnsen-HarrisThesis.pdf,,,1638,8,9,2011,8,26,,52,,518,USGS,,1700,City of Providence,100,
28,Edwards Dam,Kennebec River,"Augusta, Maine",ME,USA,44.325,-69.77,USACE NID,NAD83,,1837,1999,,environmental,hydroelectric,,12,30837000,4.86,,,,ME00081,,,250,,,,,,7,,1999,10,,,304,27000,14374,USACE NID,,,Private Company,,
29,Glenville (Linen Mill Dam) (McArthur),Baraboo River,"Baraboo, WI",WI,USA,43.4586371,-89.71548,USACE NID,NAD83,,1898,2001,instantaneous,economic,hydroelectric,run-of-the-river,3.4,117180,0.024281,1049,"1049km2 in citation #21&22 , 1699km2 in citation#179. 1684 reported by DNR on website",,WI00301,5405000,,10.36,,,http://digital.library.ucr.edu/cdri/documents/GlenvilleAssessment.pdf,,,,,,10,,,47,1600,1510,"1510km2 in USACE NID, 1577km2 at USGS",35,,The McArthur Family,,
30,Waterworks Dam,Baraboo River,"Baraboo, Wisconsin",WI,USA,43.46459,-89.72865,USACE NID,NAD83,,1848,1998,staged removal,economic,hydroelectric,run-of-the-river,4.3,4993390,0.1902,1049,"1049km2 in citation #21&22 , 1699km2 in citation#179. 1684 reported by DNR on website",,WI00189,5405000,,10.36,,,,,,12,,1997,4,,,67,1000,1487,"1487km2 in USACE NID, 1577km2 at USGS",35,,The City of Baraboo,,
31,Oak Street Dam,Baraboo River,"Baraboo, Wisconsin",WI,USA,43.4667565,-89.742465,USACE NID,NAD83,,1929,2000,de-water & dig,,hydroelectric,run-of-the-river,4.3,246700,0.06475,1049,"1049km2 in citation #21&22 , 1699km2 in citation#179. 1684 reported by DNR on website",,WI00302,5405000,"2 ""original dam"" built dates reported. 1844 and 1860's. amended to 1850",10.36,,,,,1850,,,,1,,,82,1300,1461,"1461km2 in USACE NID, 1577km2 at USGS",35,,The McArthur Family then City of Baraboo,,
32,LaValle Dam,Baraboo River,"LaValle, WI",WI,USA,43.5821536,-90.1329498,USACE NID,NAD83,,1851,2001,staged removal,,hydroelectric,run-of-the-river,3.7,148020,0.12,1049,"1049km2 in citation #21&22 , 1699km2 in citation#179. 1684 reported by DNR on website",,WI00303,5405000,,10.36,,,,,,7,11,2000,2,,,25,2300,603,"603km2 in USACE NID, 1577km2 at USGS",35,140100,"Baraboo River Restoration, LLC",,
33,Good Hope Mill Dam,Conodoguinet Creek,"Cumberland County, Pennsylvania",PA,USA,40.262778,-76.979444,publication,NAD83,,1905,2001,instantaneous,environmental,,run-of-the-river,1.8,64141,,,,,NA,,"dam built date reported as before 1905. Stored sediment was ""less than 3 inches""",17.217,,,,,,11,,2001,11,,,,2182,1264,citation,,,orphaned,,
34,Cijiawan #1 Dam,Cijiawan Stream,"Shei-Pa National Park, Taiwan",,Taiwan,24.361534,121.31166,google,WGS84,within river,,2011,,environmental,flood control,,16.5,,,,,,NA,,"publication states river mean discharge is "">10 cms""",10,,http://www.taipeitimes.com/News/taiwan/archives/2011/03/24/2003498987,https://www.spnp.gov.tw/Attachments/Docs/10008??????????????????????????????????_M.pdf,,,5,23,2011,5,30,7,15,,77,77 km2 citation #24 or 27?; 50.3 km2 citation #230,,200000,,,
35,St. John Dam,Sandusky River,"Seneca County, Ohio",OH,USA,41.030278,-83.215556,publication,unknown,,1935,2003,staged removal,environmental,irrigation,run-of-the-river,2.2,560000,0.38,3637,citation,,NA,"04196500 upstream, 04198000 downstream","Dam built date reported as 1930's. Publication states river mean discharge is ""17.8-20.5 cms"". Publication states river width downstream of impoundment - used value for upstream width, since not reported",19.15,,http://wwwapp.epa.ohio.gov/dsw/nps/NPSMP/docs/stjohncasestudy.html,,,1901,3,,2003,11,,,46,13000,1974,"1974km2 in citation, 771km2 at USGS upstream, 3240km2 at USGS downstream",20,200000,The Ohio American Water Company,,
36,Kaoshan Stream Dam 1,Kaoshan Stream,"Shei-Pa National Park, Taiwan",,Taiwan,24.361534,121.31166,google,WGS84,within river,,2000,partial,,,,,,,,,,NA,,"Date removed was reported as 1999-2001, used mean of 2000 for database",,,,,,,,,,,,,,,,,5,,,,
37,Kaoshan Stream Dam 2,Kaoshan Stream,"Shei-Pa National Park, Taiwan",,Taiwan,24.385458,121.309171,google,WGS84,within river,,2000,partial,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,6,,,,
38,Kaoshan Stream Dam 3,Kaoshan Stream,"Shei-Pa National Park, Taiwan",,Taiwan,24.397262,121.308656,google,WGS84,within river,,2000,partial,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,6,,,,
39,Kaoshan Stream Dam 4,Kaoshan Stream,"Shei-Pa National Park, Taiwan",,Taiwan,24.39817,121.307325,google,WGS84,within river,,2000,partial,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,5,,,,
40,McCormick-Saeltzer Dam,Clear Creek,"Redding, California",CA,USA,40.493189,-122.470769,google,WGS84,within river,1912,2000,de-water & dig,environmental,irrigation,,4.6,59207,,720,"720km2 citation #57 & #128 & #175 & #197. 127km2 in citation #73 ('lower clear creak watershed, located below wiskeytown dam, covers an area of approx 48.9mi2')",,NA,11372000,9500 m3 sediment removed,5.1,1965-2013,http://www.clear-creek.org/documents/McCormick_SaeltzerDam_SedimentTrans_Mar97.pdf,,,,11,,2000,11,,,61,,591,USGS,26,14100,,457,
41,Fossil Creek Dam,Fossil Creek,"Strawberry, Arizona",AZ,USA,34.305833,-111.675278,publication,"NAD83, Zone 12",,1909,2008,instantaneous,environmental,hydroelectric,,8,,0.00405,,,1,NA,9507480,,1.218,,https://www.hcn.org/issues/355/17256/print_view,http://www4.nau.edu/insidenau/bumps/4_27_05/fossil.htm,http://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09507480,,6,18,2005,9,,,,200,177,USGS,,19114,,,
42,Merrimack Village Dam,Souhegan River,"Merrimack, New Hampshire",NH,USA,42.860431,-71.493147,google,WGS84,location confirmed,1907,2008,staged removal,hazard,hydroelectric,run-of-the-river,3.9,,,443,citation #170,,NA,1094000,Mean Discharge and area of watershed are from usgs station,8.38,1910-2013,http://www.renewableenergyworld.com/rea/news/article/2012/09/merrimack-village-dam-results-of-removing-a-dam-in-new-hampshire,,,1734,8,6,2008,10,18,73,44,550,568,citation #142,,62000,Pennichuck Water Works,,3800 m3/year
43,Fort Covington Dam,Salmon River,northern New York,NY,USA,44.989598,-74.496088,google,WGS84,location confirmed,1913,2009,instantaneous,environmental,hydroelectric,run-of-the-river,3,,0.013,2838,citation #32,4,NA,comparison to 04270000 & 04270200,,12,,,,,,,,,6,,,27,1600,,,,,abandoned,,
44,Marmot Dam,Sandy River,"Brightwood, Oregon",OR,USA,45.399589,-122.132259,google,WGS84,within river,1989,2007,instantaneous,multiple,hydroelectric,run-of-the-river,12.2,855555,,1316,"1316km2 in citation #34, 1300km2 in citation #69, #150 & #117 & #123 (cited Major 2011), 1269km2 in citation #147",,OR00597,14137000,Motivation for removal: environmental & hazard,37.9,,http://www.stillwatersci.com/resources/2000sedimenttransportmodelingreport.pdf,,,1913,7,,2007,10,,,105,3000,684,"684 at USGS, 681km2 in citation #147",50,750000,Portland General Electric Company,2000,75000 m3/year
45,Elwha Dam,Elwha River,"Port Angeles, Washington",WA,USA,48.094403,-123.556278,publication,NAD83,,1912,2012,staged removal,environmental,hydroelectric,run-of-the-river,32,9991200,1.08,833,citation #46,,WA00242,12045500,,42.73,1898-2007,http://www.usbr.gov/pmts/sediment/projects/ElwhaRiver/ElwhaGlinesCanyon.htm,http://www.elwha.org/damremoval.html,http://waterdata.usgs.gov/nwis/annual/?search_site_no=12045500&amp;agency_cd=USGS&amp;referred_module=sw&amp;format=sites_selection_links,,9,,2011,4,,,,4023,697,USGS,,4900000,NPS,,
46,Glines Canyon Dam,Elwha River,"Olympic National Park, Washington",WA,USA,48.00167,-123.5983,USACE NID,NAD83,,1927,2014,staged removal,environmental,hydroelectric,run-of-the-river,64,46626000,,833,citation #46,,WA00144,12044900,actual date removal finished was reported as Autumn 2012.,38.71,1995-2011,,,,,9,,2011,8,,,46,,513,USGS,,16100000,NPS,,
47,River Street Dam,Olentangy River,"Delaware, Ohio",OH,USA,40.2929,-83.0599,publication,unknown,,1955,2005,,multiple,flood control,,3.5,,,,,,NA,3225500,Dam built date reported as 1950's.  Motivation for removal: environmental & hazard,10.86,1951-2013,http://www2.ohiodnr.com/soilwater/safety/dam-safety/river-street-dam,,,,,,,,,,185,,1018,USGS,,,City of Delaware,,
48,Central Ave Dam,Olentangy River,"Delaware, Ohio",OH,USA,40.3012,-83.0634,publication,unknown,,1955,2008,,multiple,recreation,run-of-the-river,4,,,,,,NA,3225500,Motivation for removal: environmental & hazard,10.86,1951-2013,http://www2.ohiodnr.com/soilwater/safety/dam-safety/central-ave-dam,,,,,,,6,13,,200,,1018,USGS,,,,,
50,Woolen Mills Dam,Rivanna River,"Charlottesville, Virginia",VA,USA,38.020734,-78.454471,google,WGS84,within river,1830,2007,partial,environmental,hydroelectric,run-of-the-river,3,,,1985,citation #40,,NA,NA,,,,http://rivannariver.org/woolen-mills-dam.html,,,,8,,2007,9,,,84,,,,,,The Thach Family,,
51,Rockdale Dam,Koshkonong River,"Rockdale, Wisconsin",WI,USA,42.97281,-89.03217,USACE NID,NAD83,,1925,2001,instantaneous,,hydroelectric,run-of-the-river,3.3,727750,0.42,360,"citation #42, #43; #170, #173 (both cited #42,43)",5,WI00252,NA,,2.7,,,,,1848,9,12,2000,6,30,291,61,,347,USACE NID,10,396000,,1500,
52,Condit Dam,White Salmon River,Washington,WA,USA,45.760159,-121.535614,google,WGS84,,1913,2012,instantaneous,environmental,hydroelectric,,38,1600000,0.37,582,"582 km2 citation #92, 990km2 in citation #202, 1010 km2 in citation #216",5,WA00001,14123500,No dam removal done. Review of 7 other projects,31.65,1916-2013,http://www.pacificorp.com/condit,,,,10,26,2011,9,,,144,2900,1000,USGS,,1800000,PacifiCorp,,~30 tonnes km-2 yr-1
53,IVEX Dam,Chagrin River,"Chagrin Falls, Ohio",OH,USA,41.43,-81.38,USACE NID,NAD83,,1850,1994,accidental,hazard,water supply,run-of-the-river,7.4,231890,0.0575,428,citation #170 (Evans 2000),,OH00354,NA,No dam removal done. Review of 7 other projects,,,http://www.crwp.org/index.php/projects/restoration-projects/85-village-of-chagrin-falls-ivex-lower-lake-dam-modification-stream-restoration-project,,,,8,13,1994,,,,33,,149,"149km2 in USACE NID, 88km2 in citation #170",,236000,Spillway LLC,,
54,Chiloquin Dam,Sprague River,"Chiloquin, Oregon",OR,USA,42.550306,-121.847877,google,WGS84,within river,1914,2008,,multiple,irrigation,,3.4,,,,,,NA,11501000,"Motivation for removal: environmental & hazard. Strored reservoir sediment reported as ""49000-61000 metric tons"". Converted to m3 using the estimate of 2.08 tonnes/m3",16.2,1922-2013,,,,,,,,8,,,67,,4053,"4053km2 at USGS, 4092km2 in citation #47, 4050km2 in citation #191",2,29327,Modoc Point Irrigation District,,
56,Secor Dam,Ottawa River,"Toledo, Ohio",OH,USA,41.660278,-83.620278,google,WGS84,location confirmed,1928,2007,instantaneous,multiple,recreation,run-of-the-river,2.5,,,4193,citation #52,,NA,4177000,"Motivation for removal: environmental & hazard. Average reported for bedload (reservoir sediment)  4,500 to 9,000 m3 in Harris_2008_Thesis and Evans_etal_2013",3.6,1946-2013,http://www2.ohiodnr.com/soilwater/safety/dam-safety/secor-road-dam,,,,11,19,2007,,,,17,,389,"389km2 at USGS, 446km2 in citation #67 & #77 & #78",,6750,Village of Ottawa Hills,,
57,Coho Dam,Huron River,northern Ohio,OH,USA,41.290704,-82.637545,google,WGS84,location confirmed,1969,2002,,multiple,,run-of-the-river,1.5,,,1052,citation #53,,NA,4199000,Motivation for removal: environmental & hazard,8.7,,http://www2.ohiodnr.com/soilwater/safety/dam-safety/coho-dam,,,,,,,,,,37,100,735,"961km2 at USGS, 735km2 in citation #53",,,,4000,
58,"Nidelva River Dam 1, Nidelva River Dam 2",Nidelva River,"Grimstad, Norway",,Norway,63.309198,10.450811,google,WGS84,within watershed,1975,2007,instantaneous,environmental,recreation,,,,,,,,NA,,Dam built date reported as late 1970's,110,,,,,,,,,,,,50,2600,,,,,,,
59,Mill Dam,Sedgeunkedunk Stream,"Brewer, Maine",ME,USA,44.734722,-68.765555,publication,unknown,,1939,2009,instantaneous,environmental,hydroelectric,,3,93745,0.004,,,3,ME00375,NA,Original structure built before 1809,,,,,,1809,8,,2009,,,,73,,54,citation #64 & #86,,,Eastern Fine Paper Inc,,
